费鸿泰	3分钟
宁化县	中国福建省宁化县石壁镇
石壁村	江西石城
中国福建省宁化县石壁镇	江西石城
宁化县	江西石城
日本	琉球群岛西南
台湾	日本
琉球群岛西南	日本
台湾	日本
1908年	苏格兰
25年	安特卫普市中心
马什哈德	马什哈德南方270公里
270公里	马什哈德南方270公里
亚戴库尔	马什哈德南方270公里
马什哈德	270公里
马什哈德	亚戴库尔
270公里	亚戴库尔
阿拉伯	大陆
阿富汗	大陆
伊朗	大陆
阿拉伯	阿富汗
阿拉伯	伊朗
阿富汗	伊朗
宾夕法尼亚州匹兹堡	一
一	美式
宾夕法尼亚州匹兹堡	美式
清朝后期	中国北京市西城区
中国北京市西城区	17号
清朝后期	17号
太平洋	墨西哥
220公里	墨西哥
墨西哥湾	太平洋
墨西哥湾	220公里
太平洋	220公里
非洲	五
东部非洲	五
非洲	南部非洲
五	南部非洲
东部非洲	南部非洲
非洲	东部非洲
1987年	天河体育中心
东京都千代田区	九
西藏察隅县	云南省高黎贡山
缅甸	云南省高黎贡山
西藏察隅县	缅甸
2007年8月3日	亚特兰大
2007年九月	000美元
亚特兰大	000美元
2007年九月	亚特兰大
亚特兰大	乔治亚州Alpharetta
一百八十米	一
1967年2月20日	华盛顿州
1967年2月20日	亚伯
华盛顿州	亚伯
韩国首尔	朝鲜
韩国首尔	五
朝鲜	五
二十面体	五
二十面体	六
五	六
东亚	太平洋
亚洲	太平洋
第二	一
第八	一
一	马勒
第二	马勒
第八	马勒
第二	第八
Tyrol	马勒
马勒	第三
奥地利	第三
Tyrol	第三
马勒	犹太人
犹太人	波希米亚Kali?tě
欧洲人	今天
明尼苏达河	密西西比河
